epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8387,2.74713,4.44563,2.62395,0.01387,0.63766,0.02967,0.00922,2.2912,4.45332,2.65075,1.334e-05,1.334e-05,1.334e-05
2,108.123,2.8611,4.53096,2.62672,0.01658,0.78247,0.0367,0.01346,2.07804,4.3817,2.49967,3.26897e-05,3.26897e-05,3.26897e-05
3,159.989,2.53502,4.34907,2.48157,0.01877,0.77489,0.09761,0.03481,1.94356,4.28077,2.34022,5.12469e-05,5.12469e-05,5.12469e-05
4,201.116,2.24857,4.38566,2.29349,0.02144,0.78788,0.19942,0.06149,1.6763,4.1569,2.0312,6.90118e-05,6.90118e-05,6.90118e-05
5,242.506,2.0172,4.13248,2.0728,0.0302,0.83636,0.19324,0.06955,1.51255,4.02928,1.8301,8.59843e-05,8.59843e-05,8.59843e-05
6,287.737,1.95496,4.04094,1.97873,0.0344,0.74545,0.27795,0.1059,1.40363,3.97859,1.71375,0.000102164,0.000102164,0.000102164
7,340.451,1.77535,3.9193,1.87692,0.02567,0.64242,0.20882,0.08057,1.32322,3.8995,1.60957,0.000117552,0.000117552,0.000117552
8,385.141,1.75171,3.81476,1.83314,0.0238,0.64242,0.2118,0.09245,1.31265,3.84451,1.58369,0.000132147,0.000132147,0.000132147
9,427.542,1.74028,3.68156,1.83754,0.02774,0.75152,0.25438,0.11663,1.20511,3.72786,1.51278,0.00014595,0.00014595,0.00014595
10,471.464,1.52032,3.51343,1.64857,0.02918,0.75758,0.27136,0.15176,1.15748,3.66171,1.47945,0.000158961,0.000158961,0.000158961
11,508.659,1.5285,3.41519,1.62892,0.02659,0.84848,0.27727,0.17137,1.03691,3.60225,1.36644,0.000171179,0.000171179,0.000171179
12,550.719,1.48797,3.42996,1.61914,0.03081,0.9697,0.321,0.16218,1.06242,3.6099,1.35066,0.000182605,0.000182605,0.000182605
13,606.246,1.41917,3.25513,1.5395,0.02391,0.95152,0.23626,0.1112,1.12116,3.62797,1.35982,0.000193238,0.000193238,0.000193238
